fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,Wine color,quality
8.2,0.27,0.43,1.6,0.035,31.0,0.9916,3.1,0.5,12.3,White,good
6.9,0.17,0.22,4.6,0.064,55.0,0.9952,3.29,0.37,9.3,White,good
7.6,0.2,0.26,4.8,0.033,26.0,0.99076,2.98,0.49,12.3,White,good
7.2,0.605,0.02,1.9,0.096,10.0,0.995,3.46,0.53,11.8,Red,good
9.2,0.19,0.42,2.0,0.047,16.0,0.99517,3.09,0.66,10.0,White,bad
7.7,0.16,0.36,5.9,0.054,25.0,0.99578,3.25,0.54,10.2,White,good
6.5,0.29,0.26,7.0,0.04,18.0,0.99366,3.17,0.38,10.2,White,good
6.0,0.27,0.31,5.0,0.043,54.0,0.9924,3.28,0.52,11.0,White,good
6.7,0.54,0.28,5.4,0.06,21.0,0.9949,3.27,0.37,9.0,White,bad
6.3,0.255,0.37,1.1,0.04,37.0,0.9905,3.0,0.39,10.9,White,good
6.3,0.37,0.28,6.3,0.034,45.0,0.9921,3.29,0.46,11.6,White,good
7.6,0.3,0.4,2.2,0.054,29.0,0.99445,3.19,0.53,9.8,White,bad
6.6,0.905,0.19,0.8,0.048,17.0,0.9934,3.34,0.56,10.0,White,bad
6.9,0.39,0.4,4.6,0.022,5.0,0.9915,3.31,0.37,12.6,White,bad
6.2,0.345,0.27,10.1,0.056,38.0,0.99486,3.31,0.56,10.6,White,bad
9.3,0.5,0.36,1.8,0.084,6.0,0.99704,3.27,0.77,10.8,Red,good
6.8,0.2,0.28,12.6,0.048,54.0,0.99556,3.19,0.37,10.7,White,good
7.2,0.57,0.06,1.6,0.076,9.0,0.9972,3.36,0.7,9.6,Red,good
8.2,0.18,0.49,1.1,0.033,28.0,0.9923,3.0,0.68,10.4,White,good
6.4,0.26,0.24,6.4,0.04,27.0,0.9903,3.22,0.49,12.6,White,good
6.8,0.16,0.36,1.3,0.034,32.0,0.99058,3.02,0.58,11.3,White,good
6.4,0.23,0.37,7.9,0.05,60.0,0.99488,2.86,0.49,9.3,White,good
7.6,0.21,0.44,1.9,0.036,10.0,0.9913,3.01,0.7,12.8,White,good
6.6,0.16,0.4,1.5,0.044,48.0,0.9912,3.54,0.52,12.4,White,good
7.3,0.31,0.25,6.65,0.032,30.0,0.99244,2.9,0.37,11.1,White,bad
6.5,0.46,0.24,11.5,0.051,56.0,0.99588,3.08,0.56,9.8,White,good
7.8,0.3,0.37,1.3,0.051,16.0,0.9941,3.32,0.62,10.0,White,bad
6.6,0.3,0.3,4.8,0.17,60.0,0.9946,3.18,0.47,9.4,White,bad
5.0,0.33,0.23,11.8,0.03,23.0,0.99322,3.41,0.64,11.8,White,good
6.8,0.68,0.09,3.9,0.068,15.0,0.99524,3.41,0.52,11.1,Red,bad
6.8,0.18,0.35,5.4,0.054,53.0,0.99287,3.1,0.54,11.0,White,good
7.3,0.98,0.05,2.1,0.061,20.0,0.99705,3.31,0.55,9.7,Red,bad
7.5,0.23,0.32,9.2,0.038,54.0,0.9966,3.04,0.56,9.7,White,good
6.8,0.44,0.2,16.0,0.065,61.0,0.99884,3.13,0.45,8.6,White,bad
9.1,0.5,0.3,1.9,0.065,8.0,0.99774,3.32,0.71,10.5,Red,good
7.2,0.37,0.15,2.0,0.029,27.0,0.9903,3.3,0.59,12.6,White,good
6.7,0.21,0.36,8.55,0.02,20.0,0.99146,3.19,0.22,13.4,White,good
7.6,0.51,0.24,2.4,0.091,8.0,0.998,3.47,0.66,9.6,Red,good
6.8,0.28,0.37,7.0,0.057,35.0,0.9973,3.57,0.55,10.2,White,bad
8.6,0.55,0.09,3.3,0.068,8.0,0.99735,3.23,0.44,10.0,Red,bad
6.6,0.24,0.27,10.3,0.047,54.0,0.99742,3.04,0.45,8.8,White,bad
7.2,0.31,0.24,1.4,0.057,17.0,0.9928,3.16,0.35,10.5,White,bad
9.2,0.32,0.42,1.3,0.046,14.0,0.9949,3.08,0.48,9.6,White,bad
6.0,0.36,0.06,1.4,0.066,27.0,0.9934,3.26,0.55,9.3,White,bad
6.0,0.19,0.29,1.2,0.046,29.0,0.99033,3.22,0.53,11.3,White,good
7.6,0.48,0.33,7.0,0.024,14.0,0.9918,3.25,0.45,12.5,White,good
7.1,0.31,0.5,14.5,0.059,6.0,0.9983,2.94,0.44,9.1,White,bad
6.3,0.26,0.21,4.0,0.03,24.0,0.9915,3.06,0.34,10.7,White,good
6.8,0.26,0.46,8.3,0.037,49.0,0.99601,3.17,0.47,9.3,White,bad
6.2,0.29,0.29,5.6,0.046,35.0,0.99313,3.25,0.51,10.5333333333333,White,bad
7.8,0.24,0.32,12.2,0.054,42.0,0.9984,3.01,0.54,8.8,White,bad
7.6,0.2,0.26,4.5,0.086,37.0,0.9963,3.15,0.42,9.2,White,bad
6.7,0.42,0.39,12.1,0.04,61.0,0.99794,3.31,0.58,9.7,White,bad
11.5,0.35,0.49,3.3,0.07,10.0,1.0003,3.32,0.91,11.0,Red,good
9.5,0.46,0.49,6.3,0.064,5.0,0.9988,3.21,0.73,11.0,Red,good
6.1,0.37,0.36,4.7,0.035,36.0,0.991,3.31,0.62,12.6,White,good
6.4,0.25,0.28,4.9,0.03,29.0,0.99024,3.09,0.58,12.8,White,good
6.0,0.18,0.31,1.4,0.036,14.0,0.99085,3.34,0.58,11.1,White,good
6.2,0.34,0.25,12.1,0.059,33.0,0.99769,3.14,0.56,8.7,White,good
8.2,0.23,0.37,1.3,0.042,39.0,0.9928,2.99,0.36,10.0,White,bad
7.0,0.48,0.12,4.5,0.05,23.0,0.99398,2.86,0.35,9.0,White,bad
6.7,0.25,0.13,1.2,0.041,81.0,0.992,3.14,0.42,9.8,White,bad
6.9,0.57,0.0,2.8,0.081,21.0,0.99518,3.41,0.52,10.8,Red,bad
6.6,0.34,0.27,6.2,0.059,23.0,0.9957,3.3,0.49,10.1,White,good
6.1,0.125,0.25,3.3,0.04,10.0,0.9934,3.54,0.59,10.1,White,good
7.8,0.16,0.41,1.7,0.026,29.0,0.991,3.02,0.78,12.5,White,good
6.2,0.21,0.26,13.1,0.05,59.0,0.99772,3.31,0.46,9.0,White,bad
8.0,0.48,0.34,2.2,0.073,16.0,0.9936,3.28,0.66,12.4,Red,good
6.6,0.25,0.39,1.45,0.04,40.0,0.9911,3.35,0.4,11.4,White,good
11.1,0.45,0.73,3.2,0.066,6.0,0.9986,3.17,0.66,11.2,Red,good
9.0,0.47,0.31,2.7,0.084,24.0,0.9984,3.31,0.61,9.4,Red,bad
7.1,0.68,0.07,1.9,0.075,16.0,0.99685,3.38,0.52,9.5,Red,bad
11.9,0.43,0.66,3.1,0.109,10.0,1.0,3.15,0.85,10.4,Red,good
6.2,0.34,0.3,11.1,0.047,28.0,0.9981,3.18,0.49,8.7,White,bad
7.0,0.23,0.35,1.4,0.036,31.0,0.9912,3.16,0.48,10.8,White,good
8.3,0.28,0.45,7.8,0.059,32.0,0.9972,3.33,0.77,11.2,White,good
7.8,0.48,0.68,1.7,0.415,14.0,0.99656,3.09,1.06,9.1,Red,good
7.0,0.57,0.0,2.0,0.19,12.0,0.99676,3.31,0.6,9.4,Red,good
8.0,0.19,0.36,1.8,0.05,16.0,0.9936,3.15,0.45,9.8,White,good
6.2,0.3,0.21,1.1,0.032,31.0,0.9889,2.97,0.42,12.2,White,good
8.5,0.19,0.49,3.5,0.044,29.0,0.9938,3.14,0.51,10.1,White,good
6.0,0.36,0.39,3.2,0.027,20.0,0.991,3.38,0.39,11.3,White,good
10.7,0.35,0.53,2.6,0.07,5.0,0.9972,3.15,0.65,11.0,Red,good
6.3,0.22,0.43,4.55,0.038,31.0,0.9918,3.35,0.33,11.5,White,good
5.9,0.44,0.36,2.5,0.03,12.0,0.99201,3.22,0.48,10.8,White,good
7.3,0.32,0.29,1.5,0.038,32.0,0.99296,3.2,0.55,10.8,White,bad
6.2,0.12,0.34,1.5,0.045,43.0,0.9939,3.42,0.51,9.0,White,good
6.5,0.31,0.61,13.0,0.053,31.0,0.99708,3.09,0.5,9.3,White,good
7.0,0.45,0.34,19.8,0.04,12.0,0.9976,3.07,0.38,11.0,White,good
5.9,0.25,0.25,11.3,0.052,30.0,0.997,3.24,0.44,9.5,White,good
6.8,0.18,0.28,8.5,0.047,52.0,0.9952,3.22,0.53,10.5,White,good
8.3,0.36,0.57,15.0,0.052,35.0,1.0001,2.93,0.64,8.6,White,bad
6.0,0.26,0.29,1.0,0.032,27.0,0.9896,3.38,0.44,12.3,White,good
7.0,0.15,0.38,2.2,0.047,33.0,0.9928,3.13,0.39,10.4,White,good
8.2,0.43,0.29,1.6,0.081,27.0,0.99603,3.25,0.54,10.3,Red,bad
6.5,0.41,0.22,4.8,0.052,49.0,0.9946,3.14,0.62,9.2,White,bad
9.6,0.56,0.31,2.8,0.089,15.0,0.9979,3.11,0.92,10.0,Red,good
7.7,0.34,0.58,11.1,0.039,41.0,0.9978,3.06,0.49,8.6,White,bad
8.2,0.29,0.33,9.1,0.036,28.0,0.9953,2.96,0.4,10.9,White,good
7.6,0.43,0.31,2.1,0.069,13.0,0.9958,3.26,0.54,9.9,Red,good
7.1,0.16,0.36,1.2,0.043,21.0,0.9925,3.16,0.42,11.0,White,good
6.1,0.44,0.28,4.25,0.032,43.0,0.9916,3.26,0.47,11.3,White,good
6.0,0.32,0.32,4.8,0.041,40.0,0.99235,3.22,0.54,11.0,White,good
7.4,0.25,0.29,6.8,0.02,31.0,0.99338,3.13,0.29,10.8,White,good
5.9,0.14,0.25,4.5,0.027,34.0,0.9934,3.49,0.51,10.8,White,good
5.9,0.34,0.22,2.4,0.03,19.0,0.9894,3.41,0.78,13.9,White,good
8.4,0.715,0.2,2.4,0.076,10.0,0.99735,3.31,0.64,9.4,Red,bad
7.3,0.39,0.37,1.1,0.043,36.0,0.991,3.39,0.48,12.7,White,good
6.1,0.34,0.24,18.35,0.05,33.0,0.99943,3.12,0.61,9.3,White,bad
7.5,0.23,0.68,11.0,0.047,37.0,0.9978,2.99,0.38,8.8,White,bad
9.0,0.48,0.32,2.8,0.084,21.0,0.9984,3.32,0.62,9.4,Red,bad
7.9,0.25,0.29,5.3,0.031,33.0,0.9918,3.06,0.32,11.8,White,good
7.3,0.19,0.24,6.3,0.054,34.0,0.9964,3.36,0.54,10.0,White,good
7.2,0.58,0.54,2.1,0.114,3.0,0.99719,3.33,0.57,10.3,Red,bad
6.6,0.2,0.38,7.9,0.052,30.0,0.9947,3.32,0.56,11.0,White,good
4.9,0.235,0.27,11.75,0.03,34.0,0.9954,3.07,0.5,9.4,White,good
5.8,0.32,0.2,2.6,0.027,17.0,0.98936,3.36,0.78,13.9,White,good
7.5,0.19,0.49,1.8,0.055,19.0,0.9946,3.33,0.44,9.9,White,bad
12.0,0.39,0.66,3.0,0.093,12.0,0.9996,3.18,0.63,10.8,Red,good
5.9,0.22,0.29,4.2,0.037,69.0,0.99214,3.13,0.74,10.8,White,good
8.2,0.44,0.24,2.3,0.063,10.0,0.99613,3.25,0.53,10.2,Red,good
6.9,0.31,0.32,1.6,0.036,34.0,0.99068,3.19,0.45,11.4,White,good
7.1,0.68,0.0,2.3,0.087,17.0,0.99783,3.45,0.53,9.5,Red,bad
7.7,0.61,0.18,2.4,0.083,6.0,0.9963,3.29,0.6,10.2,Red,good
7.0,0.21,0.34,8.0,0.057,19.0,0.9954,2.99,0.59,9.4,White,bad
7.7,0.35,0.49,8.65,0.033,42.0,0.9931,3.14,0.38,12.4,White,good
6.8,0.21,0.27,18.15,0.042,41.0,1.0001,3.3,0.36,8.7,White,bad
7.6,0.685,0.23,2.3,0.111,20.0,0.9964,3.21,0.61,9.3,Red,bad
6.4,0.39,0.33,3.3,0.046,12.0,0.99294,3.36,0.62,12.2,Red,good
6.1,0.27,0.43,7.5,0.049,65.0,0.9957,3.12,0.47,9.0,White,bad
8.3,0.85,0.14,2.5,0.093,13.0,0.99724,3.36,0.54,10.1,Red,bad
6.1,0.29,0.27,1.7,0.024,13.0,0.9893,3.21,0.51,12.6,White,good
6.1,0.34,0.29,2.2,0.036,25.0,0.98938,3.06,0.44,11.8,White,good
7.0,0.22,0.39,2.1,0.055,39.0,0.9951,3.52,0.54,10.2,White,good
6.8,0.27,0.35,7.8,0.048,76.0,0.9959,3.24,0.43,9.5,White,good
7.8,0.64,0.1,6.0,0.115,5.0,0.9984,3.37,0.69,10.1,Red,good
6.2,0.28,0.28,4.3,0.026,22.0,0.989,2.98,0.64,13.1,White,good
6.9,0.32,0.17,7.6,0.042,69.0,0.9959,3.13,0.4,8.9,White,bad
8.5,0.66,0.2,2.1,0.097,23.0,0.99733,3.13,0.48,9.2,Red,bad
8.6,0.52,0.38,1.5,0.096,5.0,0.99666,3.2,0.52,9.4,Red,bad
8.3,0.33,0.43,9.2,0.046,22.0,0.9982,3.38,0.47,9.3,White,bad
5.8,0.24,0.39,1.5,0.054,37.0,0.9932,3.21,0.52,9.3,White,good
7.7,0.28,0.33,6.7,0.037,32.0,0.9951,3.39,0.62,10.7,White,good
7.2,0.22,0.28,7.2,0.06,41.0,0.9935,3.08,0.59,11.3,White,good
6.4,0.31,0.09,1.4,0.066,15.0,0.99459,3.42,0.7,10.0,Red,good
10.1,0.31,0.35,1.6,0.075,9.0,0.99672,3.24,0.83,11.2,Red,good
7.4,0.965,0.0,2.2,0.088,16.0,0.99756,3.58,0.67,10.2,Red,bad
8.9,0.48,0.53,4.0,0.101,3.0,0.99586,3.21,0.59,12.1,Red,good
6.0,0.28,0.52,5.0,0.078,30.0,0.99494,3.1,0.36,9.0,White,good
10.4,0.41,0.55,3.2,0.076,22.0,0.9996,3.15,0.89,9.9,Red,good
7.5,0.755,0.0,1.9,0.084,6.0,0.99672,3.34,0.49,9.7,Red,bad
6.0,0.51,0.0,2.1,0.064,40.0,0.995,3.54,0.93,10.7,Red,good
6.4,0.17,0.32,2.4,0.048,41.0,0.9938,3.5,0.5,9.7,White,good
6.2,0.24,0.27,2.9,0.039,30.0,0.98959,3.12,0.37,12.8,White,good
8.6,0.23,0.46,1.0,0.054,9.0,0.9941,2.95,0.49,9.1,White,good
7.3,0.24,0.39,3.6,0.024,35.0,0.9928,3.17,0.51,10.9,White,bad
7.4,0.27,0.26,11.8,0.053,55.0,0.99699,3.11,0.6,9.8,White,bad
6.9,0.19,0.28,3.0,0.054,33.0,0.9924,3.16,0.4,10.8,White,good
5.8,0.34,0.21,6.6,0.04,50.0,0.9941,3.29,0.62,10.0,White,bad
6.1,0.38,0.14,3.9,0.06,27.0,0.99344,3.07,0.34,9.2,White,bad
7.6,0.2,0.68,12.9,0.042,56.0,0.99841,3.05,0.41,8.7,White,bad
9.1,0.6,0.0,1.9,0.058,5.0,0.9977,3.18,0.63,10.4,Red,good
8.3,0.6,0.13,2.6,0.085,6.0,0.9984,3.31,0.59,9.2,Red,good
6.4,0.105,0.29,1.1,0.035,44.0,0.99142,3.17,0.55,10.7,White,good
6.2,0.255,0.27,1.3,0.037,30.0,0.98834,3.05,0.59,12.9,White,good
6.2,0.28,0.27,10.3,0.03,26.0,0.99388,3.2,0.36,10.7,White,good
6.4,0.29,0.18,15.0,0.04,21.0,0.99736,3.14,0.5,9.2,White,bad
5.6,0.19,0.31,2.7,0.027,11.0,0.98964,3.46,0.4,13.2,White,good
7.8,0.64,0.1,6.0,0.115,5.0,0.9984,3.37,0.69,10.1,Red,good
6.4,0.15,0.4,1.3,0.053,61.0,0.99112,3.17,0.68,11.0,White,good
6.5,0.36,0.38,10.2,0.028,20.0,0.99274,3.1,0.43,12.1,White,good
7.4,0.28,0.42,19.8,0.066,53.0,1.0,2.96,0.44,9.1,White,bad
6.9,0.4,0.24,2.5,0.083,30.0,0.9959,3.26,0.58,10.0,Red,bad
5.8,0.28,0.3,1.5,0.026,31.0,0.98952,3.32,0.6,12.5,White,good
7.3,0.22,0.4,14.75,0.042,44.5,0.9998,3.36,0.41,9.1,White,good
7.8,0.56,0.19,2.1,0.081,15.0,0.9962,3.33,0.54,9.5,Red,bad
5.7,0.26,0.27,4.1,0.201,73.5,0.9942,3.27,0.38,9.4,White,good
6.4,0.3,0.27,4.4,0.055,17.0,0.9925,3.23,0.44,12.2,White,good
6.7,0.855,0.02,1.9,0.064,29.0,0.99472,3.3,0.56,10.75,Red,good
7.6,0.41,0.49,2.0,0.088,16.0,0.998,3.48,0.64,9.1,Red,bad
6.3,0.21,0.33,13.9,0.046,68.0,0.9971,3.36,0.5,10.4,White,good
8.3,0.4,0.41,8.2,0.05,15.0,0.9979,3.39,0.49,9.3,White,bad
8.9,0.59,0.39,2.3,0.095,5.0,0.9986,3.37,0.58,10.3,Red,bad
6.1,0.34,0.27,2.6,0.024,20.0,0.9906,3.4,0.67,12.2,White,good
9.1,0.37,0.32,2.1,0.064,4.0,0.99576,3.3,0.8,11.2,Red,good
7.1,0.56,0.14,1.6,0.078,7.0,0.99592,3.27,0.62,9.3,Red,bad
5.8,0.28,0.3,3.9,0.026,36.0,0.98963,3.26,0.58,12.75,White,good
7.2,0.39,0.32,1.8,0.065,34.0,0.99714,3.46,0.78,9.9,Red,bad
5.9,0.21,0.23,7.9,0.033,22.0,0.9944,3.38,0.59,10.9,White,good
8.4,0.32,0.35,11.7,0.029,3.0,0.99439,3.02,0.34,11.8,White,good
6.8,0.28,0.36,8.0,0.045,28.0,0.9928,3.02,0.37,11.4,White,good
6.5,0.38,0.34,3.4,0.036,34.0,0.9937,3.14,0.76,10.0,White,bad
6.5,0.13,0.37,1.0,0.036,48.0,0.9911,3.41,0.51,11.5,White,good
6.9,0.26,0.33,12.6,0.051,59.0,0.998,3.39,0.38,9.9,White,bad
8.3,0.24,0.27,2.1,0.03,22.0,0.9914,2.99,0.68,11.9,White,good
6.7,0.39,0.31,2.7,0.054,27.0,0.9948,3.46,0.57,10.5,White,good
7.5,0.28,0.41,1.3,0.044,11.0,0.99293,3.28,0.45,10.3,White,bad
7.8,0.29,0.22,9.5,0.056,44.0,0.99715,3.08,0.61,9.3,White,good
7.5,0.26,0.59,11.8,0.046,58.0,0.99814,3.17,0.46,8.9,White,bad
7.0,0.62,0.1,1.4,0.071,27.0,0.996,3.28,0.61,9.2,Red,bad
5.9,0.34,0.3,3.8,0.035,57.0,0.99016,3.09,0.34,12.0,White,good
6.9,0.685,0.0,2.5,0.105,22.0,0.9966,3.46,0.57,10.6,Red,good
9.3,0.48,0.29,2.1,0.127,6.0,0.9968,3.22,0.72,11.2,Red,bad
7.1,0.31,0.47,13.6,0.056,54.0,0.9978,3.1,0.49,9.3,White,bad
6.5,0.34,0.28,1.8,0.041,43.0,0.9928,3.13,0.37,9.6,White,good
5.2,0.405,0.15,1.45,0.038,10.0,0.99125,3.52,0.4,11.6,White,bad
8.2,0.5,0.35,2.9,0.077,21.0,0.9976,3.23,0.62,9.4,Red,bad
7.3,0.28,0.43,1.7,0.08,21.0,0.9905,3.19,0.42,12.8,White,bad
7.1,0.2,0.31,6.85,0.053,32.0,0.99587,3.31,0.59,10.4,White,good
7.0,0.23,0.42,18.05,0.05,35.0,0.9999,3.22,0.42,8.8,White,bad
6.5,0.29,0.52,7.9,0.049,35.0,0.99551,3.16,0.51,9.5,White,good
7.6,0.49,0.33,1.9,0.074,27.0,0.99706,3.41,0.58,9.0,Red,bad
7.9,0.66,0.0,1.4,0.096,6.0,0.99569,3.43,0.58,9.5,Red,bad
6.2,0.25,0.48,10.0,0.044,78.0,0.99655,3.25,0.47,9.5,White,good
5.4,0.27,0.22,4.6,0.022,29.0,0.98889,3.33,0.54,13.8,White,good
7.0,0.2,0.34,2.1,0.049,12.0,0.9922,3.25,0.46,11.6,White,good
6.8,0.39,0.34,7.4,0.02,38.0,0.99212,3.18,0.44,12.0,White,good
6.3,0.23,0.33,1.5,0.036,15.0,0.991,3.32,0.42,11.2,White,good
8.3,0.2,0.49,1.7,0.038,38.0,0.9939,3.05,0.37,10.1,White,good
5.6,0.2,0.66,10.2,0.043,78.0,0.9945,2.98,0.43,10.4,White,good
5.9,0.22,0.29,4.2,0.037,69.0,0.99214,3.13,0.74,10.8,White,good
6.7,0.17,0.37,2.0,0.039,34.0,0.9922,3.26,0.6,10.8,White,good
6.5,0.32,0.12,11.5,0.033,35.0,0.9974,3.22,0.32,9.0,White,bad
6.4,0.26,0.25,10.7,0.046,66.0,0.99606,3.17,0.55,9.9,White,good
7.8,0.17,0.23,1.7,0.029,39.0,0.99272,3.37,0.41,10.7,White,good
8.5,0.37,0.32,1.8,0.066,26.0,0.99456,3.38,0.72,11.8,Red,good
7.0,0.2,0.49,5.9,0.038,39.0,0.9938,3.21,0.48,10.8,White,good
6.1,0.26,0.51,2.2,0.05,61.0,0.9929,3.08,0.6,9.8,White,good
7.1,0.59,0.02,2.3,0.082,24.0,0.99744,3.55,0.53,9.7,Red,good
6.8,0.41,0.3,8.8,0.045,28.0,0.9953,3.12,0.59,9.9,White,bad
6.8,0.63,0.07,2.1,0.089,11.0,0.9953,3.47,0.55,10.4,Red,good
7.0,0.39,0.31,5.3,0.169,32.0,0.9965,3.2,0.48,9.4,White,bad
6.1,0.41,0.14,10.4,0.037,18.0,0.996,3.38,0.45,10.0,White,bad
6.5,0.29,0.42,10.6,0.042,66.0,0.99674,3.24,0.53,9.5,White,good
7.3,0.25,0.36,13.1,0.05,35.0,0.9986,3.04,0.46,8.9,White,good
7.3,0.2,0.29,19.9,0.039,69.0,1.00037,3.1,0.48,9.2,White,good
6.8,0.35,0.32,2.4,0.048,35.0,0.9911,3.28,0.46,12.0,White,good
6.6,0.24,0.3,11.3,0.026,11.0,0.99381,3.13,0.55,12.8,White,good
8.4,0.37,0.43,2.3,0.063,12.0,0.9955,3.17,0.81,11.2,Red,good
7.7,0.6,0.0,2.6,0.055,7.0,0.99639,3.38,0.56,10.8,Red,bad
6.1,0.27,0.32,6.2,0.048,47.0,0.99281,3.22,0.6,11.0,White,good
7.3,0.25,0.41,1.8,0.037,52.0,0.9911,3.29,0.39,12.2,White,good
8.6,0.33,0.34,11.8,0.059,42.0,0.99882,3.17,0.52,10.0,White,good
6.8,0.24,0.31,18.3,0.046,40.0,1.0,3.3,0.41,8.7,White,bad
6.0,0.33,0.18,3.0,0.036,5.0,0.99125,3.28,0.4,11.5,White,bad
7.0,0.975,0.04,2.0,0.087,12.0,0.99565,3.35,0.6,9.4,Red,bad
6.2,0.235,0.34,1.9,0.036,4.0,0.99032,3.4,0.44,12.2,White,bad
7.0,0.28,0.39,8.7,0.051,32.0,0.9961,3.38,0.53,10.5,White,good
6.0,0.42,0.41,12.4,0.032,50.0,0.99622,3.14,0.6,9.7,White,bad
7.2,0.4,0.49,1.1,0.048,11.0,0.9929,3.01,0.42,9.3,White,bad
6.4,0.22,0.38,9.1,0.044,35.0,0.99326,2.97,0.3,11.0,White,good
5.7,0.22,0.29,3.5,0.04,27.0,0.98999,3.17,0.36,12.1,White,good
6.3,0.3,0.24,6.6,0.04,38.0,0.995,3.22,0.47,9.5,White,bad
5.4,0.46,0.15,2.1,0.026,29.0,0.98953,3.39,0.77,13.4,White,good
7.4,0.18,0.3,8.8,0.064,26.0,0.9961,2.94,0.56,9.3,White,bad
7.3,0.36,0.54,13.3,0.054,63.0,0.99864,3.06,0.49,8.6,White,bad
5.7,0.41,0.21,1.9,0.048,30.0,0.99138,3.29,0.55,11.2,White,good
6.0,0.2,0.26,14.7,0.045,53.0,0.998365,2.99,0.69,9.4,White,good
7.5,0.32,0.37,1.2,0.048,22.0,0.9938,3.09,0.43,9.3,White,bad
6.3,0.34,0.19,5.8,0.041,22.0,0.9943,3.15,0.63,9.9,White,bad
6.9,0.27,0.4,14.0,0.05,64.0,0.9979,3.18,0.58,9.6,White,good
7.3,0.32,0.23,2.3,0.066,35.0,0.99588,3.43,0.62,10.1,Red,bad
6.7,0.27,0.31,15.7,0.036,44.0,0.9979,3.26,0.56,9.6,White,bad
6.1,0.28,0.35,12.8,0.048,63.0,0.9975,3.08,0.4,8.9,White,bad
8.0,0.55,0.17,8.2,0.04,13.0,0.9956,3.09,0.3,9.5,White,bad
9.4,0.33,0.59,2.8,0.079,9.0,0.9976,3.12,0.54,12.0,Red,good
6.6,0.42,0.13,12.8,0.044,26.0,0.99772,3.24,0.47,9.0,White,bad
6.0,0.24,0.41,1.3,0.036,42.0,0.99018,3.04,0.64,11.75,White,good
6.8,0.5,0.11,1.5,0.075,16.0,0.99545,3.36,0.79,9.5,Red,bad
8.1,0.22,0.43,1.5,0.044,28.0,0.9938,3.22,0.45,11.0,White,good
6.6,0.21,0.29,1.8,0.026,35.0,0.99183,3.37,0.48,11.2,White,good
5.6,0.915,0.0,2.1,0.041,17.0,0.99346,3.68,0.73,11.4,Red,bad
9.1,0.785,0.0,2.6,0.093,11.0,0.9994,3.36,0.86,9.4,Red,good
11.7,0.49,0.49,2.2,0.083,5.0,1.0,3.19,0.43,9.2,Red,bad
6.5,0.26,0.43,8.9,0.083,50.0,0.9965,2.85,0.5,9.0,White,bad
8.1,0.24,0.32,10.5,0.03,34.0,0.99407,3.11,0.42,11.8,White,good
13.2,0.46,0.52,2.2,0.071,12.0,1.0006,3.1,0.56,9.0,Red,good
5.8,0.28,0.3,3.9,0.026,36.0,0.98963,3.26,0.58,12.75,White,good
8.0,0.33,0.32,4.6,0.041,31.0,0.99184,2.92,0.74,12.2,White,good
6.6,0.28,0.41,7.0,0.046,59.0,0.99558,3.14,0.48,9.4,White,bad
7.2,0.31,0.35,7.2,0.046,45.0,0.9955,3.14,0.53,9.7,White,bad
6.5,0.19,0.34,1.6,0.029,39.0,0.98954,3.21,0.68,12.5,White,good
6.6,0.26,0.56,15.4,0.053,32.0,0.9981,3.11,0.49,9.3,White,bad
7.4,0.28,0.5,12.1,0.049,48.0,0.9973,3.01,0.44,9.0,White,bad
6.2,0.12,0.34,1.5,0.045,43.0,0.9939,3.42,0.51,9.0,White,good
5.8,0.22,0.3,1.1,0.047,36.0,0.992,3.26,0.45,10.4,White,bad
10.2,0.34,0.48,2.1,0.052,5.0,0.99458,3.2,0.69,12.1,Red,good
6.8,0.32,0.28,4.8,0.034,25.0,0.99026,3.08,0.47,12.4,White,good
6.0,0.28,0.52,6.2,0.028,37.0,0.99161,3.28,0.51,11.8,White,good
7.2,0.25,0.28,14.4,0.055,55.0,0.9986,3.12,0.38,9.0,White,good
9.0,0.58,0.25,2.0,0.104,8.0,0.99769,3.27,0.72,9.6,Red,bad
7.3,0.17,0.23,6.3,0.051,35.0,0.9963,3.36,0.54,10.0,White,good
6.4,0.885,0.0,2.3,0.166,6.0,0.99551,3.56,0.51,10.8,Red,bad
8.1,0.27,0.41,1.45,0.033,11.0,0.9908,2.99,0.56,12.0,White,bad
8.6,0.685,0.1,1.6,0.092,3.0,0.99745,3.31,0.65,9.55,Red,good
8.4,0.36,0.36,11.1,0.032,21.0,0.99313,2.95,0.39,13.0,White,good
5.7,0.25,0.27,11.5,0.04,24.0,0.99411,3.33,0.31,10.8,White,good
7.1,0.36,0.4,1.95,0.033,26.0,0.98934,3.2,0.45,13.5,White,good
5.9,0.25,0.19,12.4,0.047,50.0,0.9973,3.35,0.38,9.5,White,bad
6.3,0.21,0.28,1.5,0.051,46.0,0.9928,3.23,0.42,10.1,White,good
7.0,0.15,0.3,13.3,0.049,46.0,0.99704,3.2,0.36,9.5,White,good
5.8,0.28,0.18,1.2,0.058,7.0,0.99288,3.23,0.58,9.55,White,bad
7.1,0.25,0.39,2.1,0.036,30.0,0.9908,3.28,0.43,12.2,White,good
6.3,0.19,0.33,10.1,0.063,63.0,0.99561,2.86,0.41,9.1,White,bad
6.5,0.51,0.25,1.7,0.048,39.0,0.99212,3.28,0.57,10.6,White,bad
